,Customer_Name,Similar_Customer_1,Similar_Customer_2,Similar_Customer_3,Similar_Customer_4,Similar_Customer_5
2186,C_151216,"('C_968064', 0.615706644266342)","('C_1107281', 0.6733468800661992)","('C_547007', 0.7456556306955338)","('C_1276515', 0.7651276467425171)","('C_818084', 0.7665893352290962)"
2187,C_1512176,"('C_2449646', 0.7394240592577328)","('C_675723', 0.7614818681942874)","('C_2337132', 0.7788604025593412)","('C_1172542', 0.7973545920871481)","('C_260110', 0.7973806231583871)"
2188,C_1512403,"('C_544740', 0.5734961092800879)","('C_2581657', 0.5743078590673185)","('C_1458438', 0.5876549298820806)","('C_277712', 0.5917306706255456)","('C_631743', 0.5917306706255456)"
2189,C_1512665,"('C_2456059', 0.683772233983162)","('C_983589', 0.7113248654051871)","('C_460315', 0.7113248654051871)","('C_629106', 0.7891814893221081)","('C_1485371', 0.7958758547680684)"
2190,C_1512845,"('C_1155317', 0.37168909295446073)","('C_1182385', 0.377526487503656)","('C_2513541', 0.413126174740139)","('C_2255692', 0.41744838637338644)","('C_1944722', 0.43371723259429806)"
2191,C_1512899,"('C_174283', 0.7964350063952477)","('C_1158571', 0.8185506720555019)","('C_673429', 0.8213410813898534)","('C_631743', 0.8299471255374705)","('C_277712', 0.8299471255374705)"
2192,C_1513186,"('C_1935521', 0.7649510208123438)","('C_851622', 0.7817821097640076)","('C_401375', 0.7817821097640076)","('C_1352311', 0.7817821097640076)","('C_1480201', 0.7817821097640076)"
2193,C_1513271,"('C_859944', 0.5545093677852151)","('C_1476301', 0.5578603242970472)","('C_742607', 0.6629916510543092)","('C_612767', 0.6886247996076573)","('C_962906', 0.693869768282778)"
2194,C_1513360,"('C_1869027', 0.44542819522807164)","('C_1148058', 0.47598620525311164)","('C_206629', 0.642370664953094)","('C_1029259', 0.7189075168689316)","('C_1798180', 0.727328033791824)"
2195,C_1514113,"('C_855460', 0.5294661577446427)","('C_1874417', 0.5965914834490715)","('C_1291066', 0.6059627367853071)","('C_2411165', 0.618652798615713)","('C_697347', 0.6306493450048235)"
2196,C_151423,"('C_28686', 0.6755571577384749)","('C_2260453', 0.709819598058279)","('C_1028330', 0.7350935285869913)","('C_2486282', 0.7550567536549169)","('C_1045982', 0.7806366011571673)"
2197,C_1514259,"('C_1643405', 0.4469987363906689)","('C_1234537', 0.591751709536137)","('C_2077147', 0.6070491818393197)","('C_1234535', 0.6377542659920488)","('C_623072', 0.6666666666666665)"
2198,C_1515007,"('C_2395686', 0.8608041335703424)","('C_1497746', 0.8671319646996529)","('C_2247925', 0.8693034584633071)","('C_552904', 0.87189374040317)","('C_2128454', 0.8733971966696686)"
